time,bus_voltage_V,current_mA,power_mW,State
12/26/2023 15:17,5.185,652,3380,charging
12/26/2023 15:17,5.189,675,3500,charging
12/26/2023 15:17,5.197,512,2660,charging
12/26/2023 15:17,5.181,642,3340,charging
12/26/2023 15:17,5.189,574,2780,charging
12/26/2023 15:17,5.193,498,2880,charging
12/26/2023 15:17,5.189,672,3480,charging
12/26/2023 15:17,5.193,737,3440,charging
12/26/2023 15:17,5.189,598,2820,charging
12/26/2023 15:17,5.177,662,2780,charging
12/26/2023 15:17,5.181,541,2660,charging
12/26/2023 15:17,5.189,712,4000,charging
12/26/2023 15:17,5.197,643,2860,charging
12/26/2023 15:17,5.193,748,3860,charging
12/26/2023 15:17,5.197,648,3120,charging
12/26/2023 15:17,5.193,584,4760,charging
12/26/2023 15:17,5.193,837,2780,charging
12/26/2023 15:17,5.185,745,3500,charging
12/26/2023 15:17,5.185,681,3400,charging
12/26/2023 15:17,5.197,585,3480,charging
12/26/2023 15:17,5.197,674,3640,charging
12/26/2023 15:17,5.197,567,2880,charging
12/26/2023 15:17,5.197,546,2820,charging
12/26/2023 15:17,5.181,521,2720,charging
12/26/2023 15:17,5.181,538,2940,charging
12/26/2023 15:17,5.189,580,3240,charging
12/26/2023 15:17,5.197,613,3480,charging
12/26/2023 15:17,5.197,562,3220,charging
12/26/2023 15:17,5.197,582,3400,charging
12/26/2023 15:17,5.197,521,3440,charging
12/26/2023 15:17,5.197,597,3380,charging
12/26/2023 15:17,5.197,609,3140,charging
12/26/2023 15:17,5.201,567,3080,charging
12/26/2023 15:17,5.197,612,3140,charging
12/26/2023 15:17,5.197,510,2760,charging
12/26/2023 15:17,5.197,494,3040,charging
12/26/2023 15:17,5.197,491,3540,charging
12/26/2023 15:17,5.185,651,3340,charging
12/26/2023 15:17,5.193,569,2820,charging
12/26/2023 15:17,5.177,537,2620,charging
12/26/2023 15:17,5.185,638,2780,charging
12/26/2023 15:17,5.193,534,2880,charging
12/26/2023 15:17,5.193,534,2780,charging
12/26/2023 15:17,5.197,620,3020,charging
12/26/2023 15:17,5.193,539,2920,charging
12/26/2023 15:17,5.193,618,3640,charging
12/26/2023 15:17,5.197,648,3080,charging
12/26/2023 15:17,5.197,544,3040,charging
12/26/2023 15:17,5.197,501,2780,charging
12/26/2023 15:17,5.193,611,3380,charging
12/26/2023 15:17,5.189,540,2820,charging
12/26/2023 15:17,5.197,507,2620,charging
12/26/2023 15:17,5.193,533,2720,charging
12/26/2023 15:17,5.197,526,2720,charging
12/26/2023 15:17,5.193,539,2580,charging
12/26/2023 15:17,5.177,537,2780,charging
12/26/2023 15:17,5.197,534,2580,charging
12/26/2023 15:18,5.193,612,3180,charging
12/26/2023 15:18,5.193,503,2720,charging
12/26/2023 15:18,5.197,547,2560,charging
12/26/2023 15:18,5.189,593,3080,charging
12/26/2023 15:18,5.193,686,3300,charging
12/26/2023 15:18,5.197,497,3240,charging
12/26/2023 15:18,5.189,533,2980,charging
12/26/2023 15:18,5.197,619,3280,charging
12/26/2023 15:18,5.197,538,2780,charging
12/26/2023 15:18,5.193,514,3500,charging
12/26/2023 15:18,5.189,669,3640,charging
12/26/2023 15:18,5.197,592,3180,charging
12/26/2023 15:18,5.177,889,4620,charging
12/26/2023 15:18,5.197,633,3120,charging
12/26/2023 15:18,5.197,651,3120,charging
12/26/2023 15:18,5.197,662,3220,charging
12/26/2023 15:18,5.189,539,2920,charging
12/26/2023 15:18,5.193,639,2820,charging
12/26/2023 15:18,5.189,853,3040,charging
12/26/2023 15:18,5.193,606,3180,charging
12/26/2023 15:18,5.181,557,2780,charging
12/26/2023 15:18,5.197,575,2980,charging
12/26/2023 15:18,5.197,651,2920,charging
12/26/2023 15:18,5.193,630,3280,charging
12/26/2023 15:18,5.197,601,4000,charging
12/26/2023 15:18,5.201,619,3040,charging
12/26/2023 15:18,5.193,639,3220,charging
12/26/2023 15:18,5.193,642,3700,charging
12/26/2023 15:18,5.189,651,3340,charging
12/26/2023 15:18,5.189,719,2780,charging
12/26/2023 15:18,5.189,607,3140,charging
12/26/2023 15:18,5.193,537,2780,charging
12/26/2023 15:18,5.189,635,3280,charging
12/26/2023 15:18,5.169,647,3480,charging
12/26/2023 15:18,5.193,588,3340,charging
12/26/2023 15:18,5.185,634,4200,charging
